# dt controlx controly u_esc u_steer dw wperiod gx gy gz ax ay az
0.010 0 0 0 0 2 4081 -0.006392 0.003196 0.006392 0.003418 0.016602 1.004883
0.010 0 0 0 0 3 4203 -0.020240 0.013316 -0.008522 0.000488 0.014648 1.004883
0.010 0 0 0 0 2 4217 -0.001598 0.011718 -0.003728 -0.004395 0.012695 1.007812
0.010 0 0 0 0 2 4282 -0.010120 0.005859 -0.009055 -0.012207 0.025391 1.013184
0.010 0 0 0 0 2 4559 -0.020773 -0.007989 0.009587 -0.013184 0.030762 1.013184
0.010 0 0 0 0 3 4747 -0.028762 -0.014381 0.015979 -0.010254 0.033691 1.015137
0.010 0 0 0 0 2 4754 -0.031958 -0.007989 0.013316 -0.005371 0.025879 1.010254
0.010 0 0 0 0 2 4863 -0.023968 -0.001065 0.005326 -0.001953 0.022949 1.008301
0.010 0 0 0 0 2 5193 -0.022371 0.005859 0.001065 -0.000488 0.019531 1.006348
0.010 0 0 0 0 2 5188 -0.009587 0.009055 0.002131 -0.001953 0.020020 1.005371
0.010 0 0 0 0 2 5345 -0.014914 0.004794 0.010120 -0.006348 0.023438 1.009766
0.010 0 0 0 0 1 5472 -0.003196 -0.004794 0.004261 -0.011230 0.017090 1.014160
0.010 0 0 0 0 2 5659 -0.028762 -0.003728 -0.003728 -0.010742 0.025879 1.011719
0.010 0 0 0 0 2 6116 -0.015446 -0.004261 0.003728 -0.009766 0.026367 1.010742
0.010 0 0 0 0 1 6088 -0.028230 0.002663 0.006924 -0.004395 0.032715 1.007812
0.010 0 0 0 0 2 6512 -0.034621 0.006392 0.009055 -0.004883 0.026367 1.006348
0.010 0 0 0 0 1 6500 -0.013316 0.003728 0.011185 -0.006836 0.025391 1.010254
0.010 0 0 0 0 2 6996 -0.027164 0.000533 0.009587 -0.005859 0.020508 1.010254
0.010 0 0 0 0 1 6958 -0.007989 -0.002663 0.001598 -0.007812 0.017090 1.011719
0.010 0 0 0 0 2 7602 -0.012251 -0.002131 0.004794 -0.006836 0.019531 1.012207
0.010 0 0 0 0 1 7643 -0.010120 -0.002131 0.004794 -0.006348 0.023438 1.006836
0.010 0 0 0 0 1 8024 -0.012251 0.001065 0.005326 -0.004883 0.026855 1.009766
0.010 0 0 0 0 1 8454 -0.019175 -0.000533 0.007457 -0.000977 0.028809 1.008789
0.010 0 0 0 0 1 8443 -0.026632 -0.002663 0.004794 -0.001953 0.027344 1.010254
0.010 0 0 0 0 1 8932 -0.025034 -0.003728 0.004261 -0.004883 0.024902 1.012207
0.010 0 0 0 0 1 9496 -0.033556 0.002663 0.002663 -0.009766 0.025879 1.009766
0.010 0 0 0 0 1 9600 -0.019707 0.001065 0.003728 -0.006836 0.021973 1.008789
0.010 0 0 0 0 1 10210 -0.010120 -0.002663 0.003728 -0.003418 0.023926 1.011230
0.010 0 0 0 0 1 11238 -0.014381 0.000000 0.002663 -0.005859 0.023438 1.009277
0.010 0 0 0 0 1 11609 -0.011185 -0.001598 0.002663 -0.005859 0.022949 1.012695
0.010 0 0 0 0 1 12584 -0.015446 -0.004794 0.003728 -0.004883 0.024902 1.010254
